,tickers,rec
0,TURN,13
1,ACMR,13
2,AMRK,15
3,AAON,15
4,ABMD,14
5,ACIU,11
6,ACAD,12
7,ADTN,15
8,AGNCP,10
9,AGNC,14
10,ALJJ,11
11,UHAL,13
12,ANSS,14
13,ASML,13
14,ATAI,12
15,ATNI,14
16,AVHI,12
17,AVEO,16
18,AXTI,15
19,ACHC,14
20,ACST,12
21,AXDX,14
22,ARAY,14
23,ACRS,15
24,ATVI,14
25,ADAP,14
26,ADBE,14
27,ADES,12
28,AMD,13
29,AEHR,15
30,AMTX,13
31,AERI,16
32,AEMD,11
33,AGEN,15
34,AGIO,14
35,AGFS,12
36,ATSG,15
37,AIRG,10
38,AKAM,13
39,AKTX,14
40,AKBA,10
41,AKTS,14
42,ALBO,12
43,ALDX,15
44,ALCO,10
45,ALGN,12
46,ALIM,13
47,ABTX,15
48,AIQ,14
49,ARLP,14
50,AMOT,15
51,ALLT,13
52,MDRX,13
53,AOSL,14
54,GOOG,14
55,GOOGL,14
56,ATEC,14
57,AMRN,13
58,AMZN,14
59,AMBA,14
60,ASRV,13
61,ATAX,15
62,AAL,12
63,AMNB,14
64,ARCT,12
65,AMSWA,15
66,AMSC,14
67,AMWD,15
68,ABCB,16
69,AMSF,14
70,ASCA,11
71,ATLO,10
72,AMGN,15
73,FOLD,15
74,ASYS,15
75,AMRS,14
76,ANAB,15
77,AVXL,15
78,ANDE,13
79,ANGO,15
80,AINV,17
81,APPN,14
82,APDN,11
83,AMAT,14
84,AAOI,14
85,APVO,11
86,AQMS,14
87,ARCB,15
88,ABIO,15
89,RKDA,12
90,ACGL,15
91,ARDX,14
92,ARKR,15
93,ASND,15
94,APWC,13
95,ASMB,11
96,ASTE,11
97,ATRO,13
98,ASTC,10
99,ATRA,12
100,AAME,13
101,AAWW,14
102,TEAM,14
103,ATOM,14
104,ATOS,14
105,ATRC,14
106,AUDC,12
107,AVDL,14
108,AVID,12
109,AVGR,11
110,AVIR,14
111,CAR,13
112,AHPA,13
113,AWRE,10
114,AXSM,15
115,BCBP,15
116,TECH,12
117,BIOL,10
118,BJRI,14
119,ADRE,14
120,BOKF,15
121,BOSC,13
122,BSQR,13
123,BIDU,11
124,BCPC,14
125,BLDP,14
126,BANFP,11
127,TBBK,13
128,BMRC,13
129,BOTJ,11
130,BFIN,12
131,BHAC,12
132,BSET,13
133,BECN,15
134,BBBY,14
135,BGNE,13
136,BELFB,16
137,BLCM,14
138,BYSI,13
139,BGFV,12
140,BRLI,14
141,BCRX,15
142,BLFS,15
143,BMRN,15
144,BIOS,13
145,BEAT,10
146,BIIB,15
147,BMRA,10
148,BVXV,11
149,BL,14
150,BKCC,15
151,BLMN,14
152,BKEP,13
153,BKEPP,14
154,BPMC,14
155,BNSO,12
156,BOXL,12
157,BCOV,11
158,AVGO,15
159,BYFC,11
160,BWEN,15
161,BRKL,12
162,CFFI,15
163,CHRW,14
164,CDW,15
165,CECE,16
166,CHSCP,11
167,CHSCM,12
168,CHSCL,14
169,CLIR,10
170,CME,10
171,PMTS,15
172,CRAI,13
173,CSX,15
174,CTIB,14
175,CDZI,12
176,CZR,13
177,CSTE,14
178,CAMP,12
179,CLBS,12
180,CHI,13
181,CHY,12
182,CCD,12
183,CHW,12
184,CSQ,12
185,CALA,12
186,CLMT,15
187,CAMT,14
188,CSIQ,15
189,CSWC,12
190,CFFN,14
191,CAPR,15
192,CARA,15
193,CSII,12
194,CASS,15
195,CBIO,15
196,CATY,15
197,CVCO,15
198,CLRB,14
199,CLLS,13
200,CYAD,11
201,CETX,12
202,CETXP,13
203,CDEV,14
204,CENTA,15
205,CENT,14
206,CVCY,11
207,CNTY,10
208,CERE,14
209,CSBR,14
210,CHTR,13
211,CHEK,13
212,CAKE,14
213,CEMI,10
214,CCXI,15
215,CHMG,15
216,CBNK,15
217,PLCE,13
218,CMRX,13
219,HTHT,15
220,CNET,15
221,NEXT,15
222,CHUY,13
223,CMPR,12
224,CIDM,14
225,CRUS,15
226,CSCO,12
227,CTRN,14
228,CZWI,10
229,CIZN,11
230,CTXS,15
231,CIVB,15
232,CLNE,14
233,CACG,14
234,LRGE,14
235,CLRO,10
236,CLFD,14
237,CSGP,15
238,COGT,15
239,CTSH,11
240,COHU,14
241,COLL,12
242,COLB,15
243,COLM,11
244,CMCO,11
245,CVLT,10
246,TCFC,15
247,CTBI,15
248,CIZ,13
249,CSF,14
250,CFO,12
251,CHCI,12
252,CFMS,12
253,CONN,11
254,CNOB,13
255,CPAA,11
256,CPRT,14
257,CRVL,15
258,CRSR,14
259,CRVS,13
260,COST,14
261,COUP,12
262,COWN,15
263,CBRL,14
264,CACC,13
265,GLDI,12
266,SLVO,12
267,CRSP,15
268,CRTO,15
269,CROX,13
270,CRWS,11
271,CPIX,15
272,CMLS,12
273,CRIS,12
274,CYBE,15
275,CYBR,14
276,CYTK,15
277,CTMX,12
278,DBVT,14
279,XRAY,12
280,DISH,12
281,DJCO,14
282,DAKT,15
283,DRIO,14
284,DSKE,11
285,DAIO,13
286,DTEA,11
287,DWSN,12
288,DCTH,12
289,DENN,11
290,DSGX,15
291,DXCM,13
292,DHIL,12
293,FANG,15
294,DMRC,14
295,DGLY,12
296,DRIV,15
297,APPS,12
298,DCOM,15
299,DIOD,14
300,DXYN,12
301,DLTR,13
302,DORM,12
303,DLTH,10
304,DVAX,14
305,NDRA,13
306,ESSA,14
307,DAX,11
308,EVLV,15
309,EZPW,15
310,EBMT,10
311,EGBN,12
312,EGLE,13
313,EWBC,15
314,EML,15
315,EVGBC,12
316,EVSTC,10
317,EVLMC,11
318,EBIX,11
319,SATS,12
320,EDIT,14
321,EIGR,15
322,EKSO,15
323,LOCO,10
324,ELSE,14
325,ELTK,15
326,ENTA,15
327,STIM,15
328,WATT,15
329,ENPH,15
330,ENTG,12
331,EBTC,14
332,ERIE,15
333,ESPR,15
334,ETSY,14
335,CLWT,14
336,EEFT,11
337,EVK,10
338,EVBG,12
339,EVGN,14
340,EXLS,14
341,EXPE,12
342,EXPD,13
343,FFIV,14
344,FARO,15
345,FFNW,10
346,FSBW,14
347,FSBC,10
348,FARM,11
349,FMNB,12
350,FAST,15
351,FATE,14
352,FNHC,10
353,GSM,15
354,FGEN,16
355,FITB,13
356,FISI,14
357,FBNC,14
358,FBMS,11
359,FRBA,15
360,BUSE,15
361,FCAL,12
362,FFWM,13
363,FHB,15
364,INBK,13
365,FIBK,14
366,FRME,15
367,FMBH,15
368,FSLR,14
369,FAAR,11
370,BICK,15
371,FCEF,15
372,FVC,14
373,FEMB,12
374,FEMS,12
375,FEP,11
376,FBZ,13
377,FPA,12
378,FEM,13
379,FDT,11
380,FDTS,13
381,FJP,12
382,FKU,10
383,TDIV,15
384,FTHI,14
385,FV,14
386,IFV,12
387,RDVY,15
388,FNY,14
389,FYC,15
390,CARZ,15
391,SKYY,14
392,FTSM,12
393,HYLS,14
394,FTSL,14
395,FTGC,14
396,FTAG,14
397,FTRI,11
398,FPXI,12
399,FEX,15
400,FTC,15
401,LMBS,11
402,FAD,15
403,CIBR,15
404,QTEC,15
405,FTXO,14
406,FTXG,15
407,FTXN,15
408,FTXL,14
409,FTXR,14
410,RFDI,11
411,RFEM,13
412,RFEU,12
413,FCVT,14
414,FYX,15
415,FTCS,15
416,FIXD,12
417,FUNC,13
418,FLIC,15
419,FSV,14
420,FIVE,12
421,FIVN,15
422,FLEX,15
423,SKOR,13
424,ASET,15
425,FFIC,15
426,FORTY,14
427,FBIO,13
428,FWRD,14
429,FOXF,15
430,RAIL,15
431,FTEK,14
432,FCEL,14
433,FLL,13
434,FTFT,13
435,FFHL,15
436,WILC,10
437,GIII,13
438,GDS,10
439,GALT,14
440,GENE,13
441,GNUS,16
442,GNTX,13
443,THRM,14
444,GEVO,13
445,ROCK,14
446,GIGM,12
