,tickers,rec
0,SRCE,16
1,ACNB,16
2,AEY,16
3,ADMA,17
4,ANIP,17
5,ADUS,16
6,AEIS,16
7,AVAV,16
8,AGYS,17
9,ALRM,16
10,ALNY,16
11,SMCP,16
12,ALT,16
13,AIMC,16
14,DOX,17
15,CRMT,17
16,AMKR,16
17,ADI,16
18,APOG,16
19,APEN,16
20,APPF,16
21,AAPL,16
22,ARCC,16
23,ARRY,16
24,AROW,16
25,ARWR,16
26,ARTNA,17
27,AZPN,16
28,ADSK,16
29,ADP,16
30,AVNW,17
31,AHPAU,14
32,ACLS,16
33,AXGN,16
34,RILY,16
35,BGCP,17
36,BANF,16
37,BWFG,16
38,BANR,16
39,BHACU,15
40,BBSI,17
41,BELFA,16
42,BPTH,16
43,BLRX,16
44,BCOR,17
45,BCLI,16
46,CCNE,16
47,CPSH,17
48,CSPI,16
49,CSWI,17
50,CVBF,16
51,CVV,16
52,CDNS,16
53,CALM,17
54,CVGW,17
55,CAC,16
56,CCBG,16
57,CSTR,17
58,CWST,16
59,CASY,16
60,CPRX,17
61,CLDX,16
62,CELH,16
63,CAAS,16
64,CHDN,16
65,CTAS,16
66,CZNC,17
67,CHCO,17
68,YLDE,17
69,CHRS,17
70,CIGI,16
71,CBSH,16
72,CVGI,16
73,COMM,17
74,CFA,16
75,GNOM,16
76,CNFR,16
77,CPSS,16
78,CORT,17
79,CRESY,16
80,CYRX,16
81,CUTR,16
82,CBAY,16
83,DLHC,16
84,DRRX,17
85,PLAY,16
86,DGII,17
87,DMLP,16
88,ENG,16
89,EDAP,16
90,ESLT,16
91,EA,16
92,WIRE,16
93,ERII,16
94,EFSC,17
95,EQIX,16
96,EQBK,16
97,MRAM,18
98,EXPO,17
99,EXTR,16
100,FRPH,16
101,ONEQ,16
102,FDUS,16
103,FITBI,17
104,FITBP,16
105,FNLC,17
106,FBIZ,16
107,FCNCA,17
108,FCBC,16
109,FFBC,17
110,FFIN,17
111,THFF,16
112,FGBI,16
113,FLN,16
114,MDIV,16
115,AIRR,16
116,FYT,16
117,FNK,16
118,FTA,16
119,FNX,16
120,FAB,16
121,QABA,17
122,GRID,16
123,QCLN,16
124,QQEW,16
125,QQXT,17
126,FISV,17
127,FPAY,16
128,FORD,17
129,FELE,17
130,FULT,16
131,GTHX,16
132,GLPI,16
133,GABC,16
134,GERN,17
135,GOODN,17
136,GAIN,17
137,GPACU,18
138,QQQM,16
139,GOGO,16
140,GLNG,16
141,GLRE,16
142,GURE,16
143,HNRG,16
144,HONE,16
145,HWKN,17
146,HTLD,17
147,HFWA,17
148,HOLI,16
149,HBCP,17
150,HBNC,17
151,HDSN,16
152,ICFI,16
153,PI,16
154,CSML,17
155,ICHR,16
156,IPWR,16
157,IMGN,16
158,INDB,16
159,PODD,16
160,IBKR,16
161,ICPT,16
162,IRDM,16
163,ITRN,17
164,JJSF,17
165,JACK,17
166,JSML,16
167,KVHI,16
168,KALV,17
169,KRNY,16
170,KE,16
171,LHCG,17
172,LKQ,17
173,LCA,17
174,LVHD,16
175,LXRX,16
176,BATRA,16
177,BATRK,16
178,LSXMK,16
179,LWAY,17
180,LECO,16
181,LITE,16
182,MTSI,16
183,MCFT,16
184,MGEE,17
185,MGPI,16
186,MYRG,16
187,MCBC,18
188,MGYR,16
189,MMYT,17
190,MBUU,16
191,MANH,16
192,MAR,17
193,MAT,16
194,MFIN,16
195,MEDP,16
196,MELI,16
197,MBWM,17
198,MERC,16
