,tickers,rec
0,SRCE,1
1,ACNB,0
2,AEY,0
3,ADMA,0
4,ANIP,0
5,ADUS,1
6,AEIS,0
7,AVAV,0
8,AGYS,0
9,ALRM,1
10,ALNY,1
11,SMCP,1
12,ALT,1
13,AIMC,1
14,DOX,0
15,CRMT,1
16,AMKR,0
17,ADI,0
18,APOG,0
19,APEN,0
20,APPF,1
21,AAPL,1
22,ARCC,1
23,ARRY,1
24,AROW,0
25,ARWR,1
26,ARTNA,0
27,AZPN,1
28,ADSK,0
29,ADP,0
30,AVNW,0
31,AHPAU,0
32,ACLS,0
33,AXGN,0
34,RILY,1
35,BGCP,0
36,BANF,0
37,BWFG,0
38,BANR,0
39,BHACU,0
40,BBSI,0
41,BELFA,1
42,BPTH,1
43,BLRX,1
44,BCOR,1
45,BCLI,0
46,CCNE,0
47,CPSH,1
48,CSPI,1
49,CSWI,0
50,CVBF,1
51,CVV,0
52,CDNS,0
53,CALM,1
54,CVGW,0
55,CAC,1
56,CCBG,1
57,CSTR,0
58,CWST,0
59,CASY,0
60,CPRX,2
61,CLDX,0
62,CELH,0
63,CAAS,0
64,CHDN,1
65,CTAS,1
66,CZNC,0
67,CHCO,1
68,YLDE,0
69,CHRS,1
70,CIGI,0
71,CBSH,1
72,CVGI,1
73,COMM,0
74,CFA,0
75,GNOM,1
76,CNFR,0
77,CPSS,0
78,CORT,1
79,CRESY,1
80,CYRX,1
81,CUTR,0
82,CBAY,0
83,DLHC,0
84,DRRX,0
85,PLAY,1
86,DGII,0
87,DMLP,0
88,ENG,1
89,EDAP,1
90,ESLT,0
91,EA,1
92,WIRE,0
93,ERII,0
94,EFSC,0
95,EQIX,2
96,EQBK,1
97,MRAM,0
98,EXPO,0
99,EXTR,0
100,FRPH,0
101,ONEQ,1
102,FDUS,1
103,FITBI,0
104,FITBP,1
105,FNLC,0
106,FBIZ,0
107,FCNCA,0
108,FCBC,0
109,FFBC,0
110,FFIN,0
111,THFF,0
112,FGBI,0
113,FLN,0
114,MDIV,0
115,AIRR,1
116,FYT,0
117,FNK,0
118,FTA,0
119,FNX,0
120,FAB,0
121,QABA,0
122,GRID,0
123,QCLN,0
124,QQEW,1
125,QQXT,0
126,FISV,0
127,FPAY,1
128,FORD,0
129,FELE,1
130,FULT,0
131,GTHX,0
132,GLPI,1
133,GABC,0
134,GERN,0
135,GOODN,0
136,GAIN,0
137,GPACU,0
138,QQQM,1
139,GOGO,2
140,GLNG,0
141,GLRE,1
142,GURE,1
143,HNRG,0
144,HONE,0
145,HWKN,1
146,HTLD,0
147,HFWA,0
148,HOLI,1
149,HBCP,1
150,HBNC,0
151,HDSN,0
152,ICFI,0
153,PI,0
154,CSML,0
155,ICHR,0
156,IPWR,0
157,IMGN,0
158,INDB,1
159,PODD,1
160,IBKR,1
161,ICPT,0
162,IRDM,0
163,ITRN,0
164,JJSF,0
165,JACK,1
166,JSML,1
167,KVHI,1
168,KALV,0
169,KRNY,1
170,KE,0
171,LHCG,0
172,LKQ,0
173,LCA,0
174,LVHD,0
175,LXRX,1
176,BATRA,1
177,BATRK,1
178,LSXMK,1
179,LWAY,0
180,LECO,1
181,LITE,1
182,MTSI,0
183,MCFT,0
184,MGEE,0
185,MGPI,0
186,MYRG,1
187,MCBC,0
188,MGYR,0
189,MMYT,1
190,MBUU,0
191,MANH,0
192,MAR,0
193,MAT,0
194,MFIN,1
195,MEDP,1
196,MELI,1
197,MBWM,0
198,MERC,0
199,MMSI,1
200,MCHP,0
201,MPB,0
202,MOFG,0
203,MIDD,1
204,MBCN,0
205,MSBI,1
206,MPWR,0
207,MPAA,2
208,NBTB,0
209,NMIH,1
210,NDAQ,0
211,NATH,0
212,FIZZ,1
213,NATI,1
214,NDSN,1
215,NBN,1
216,NFBK,0
217,NWPX,0
218,NVCR,1
219,NUVA,1
220,ORLY,1
221,ON,0
222,OVLY,0
223,OCFC,0
224,OSBC,0
225,OLLI,0
226,ORRF,0
227,OTTR,1
228,PFIN,0
229,PCAR,0
230,PAVM,0
231,CNXN,0
232,PCSB,0
233,PDFS,0
234,PTC,0
235,PPBI,1
236,PANL,1
237,PKOH,0
238,PDCO,0
239,PAYX,0
240,PGC,1
241,PFIS,0
242,PERI,1
243,PLAB,0
244,PME,0
245,PLUG,1
246,PBPB,0
247,POWL,0
248,DWAS,1
249,PFM,0
250,PTH,1
251,PUI,0
252,KBWY,0
253,KBWP,2
254,PRFZ,0
255,PEY,0
256,KBWR,0
257,QQQ,1
258,USLB,0
259,PSCM,0
260,PSCF,1
261,PSCI,1
262,PSCC,0
263,PSCU,1
264,PHO,0
265,PFBC,0
266,PSET,1
267,PY,1
268,PRGS,0
269,RNA,0
270,PSEC,0
271,QCRH,0
272,QUIK,1
273,ROLL,0
274,RICK,1
275,RMBS,0
276,RNDB,1
277,ROIC,0
278,RVNC,1
279,RELL,0
280,ROSE,0
281,RUSHB,0
282,RUSHA,1
283,RUTH,1
284,STBA,0
285,SBAC,0
286,JSM,0
287,SPSC,0
288,STAA,0
289,SBRA,1
290,SGMO,1
291,SANM,0
292,SRTS,1
293,SHBI,0
294,SILC,0
295,SBGI,1
296,SIRI,1
297,SMBK,0
298,SOHO,1
299,SSB,0
300,SBSI,1
301,SPPI,1
302,STRL,0
303,SYBT,0
304,SUNW,1
305,SMCI,1
306,STRN,1
307,SNPS,0
308,TMUS,0
309,CGBD,0
310,TTMI,1
311,TEDU,0
312,GLBL,0
313,TXN,0
314,TXRH,1
315,ENSG,0
316,HCKT,0
317,TBPH,1
318,TITN,1
319,TOWN,1
320,TRNS,1
321,TCBK,0
322,TRST,0
323,TRMK,1
324,UFPT,0
325,UMBF,0
326,ULTA,0
327,UMPQ,2
328,UBSI,0
329,UNTY,0
330,USAP,0
331,UTMD,1
332,VTWV,0
333,VONV,0
334,VONG,1
335,VTWO,0
336,VECO,1
337,VRNT,0
338,VRSK,1
339,VRNA,1
340,VIAV,0
341,VSDA,0
342,CDC,1
343,CDL,0
344,CSA,0
345,VKTX,0
346,VIRC,1
347,VUZI,0
348,WSFS,0
349,WVE,0
